"","mos_since_start","mos_since_last_ck","exhaust_approx","n","cons_ub_adj","inc_adj","income_ub_adj","cons_adj","labor_broad_adj","inflow_paper_ck","mos_unemp","unemp","cons","cons_base_start_tmp","inc_base_start_tmp","cons_base_exhaust_tmp","inc_base_exhaust_tmp","cons_base_exhaust_immed_tmp","inc_base_exhaust_immed_tmp","labor_base_start_tmp","labor_base_exhaust_immed_tmp","d_cons_start","d_inc_start","d_cons_exhaust","d_inc_exhaust","d_cons_exhaust_immed","d_inc_exhaust_immed","labor_base_start","labor_base_exhaust_immed","d_cons_start_ex_wr"
"58",-23,-23,FALSE,3347,4496.79480992829,3492.09625116469,4788.52941604163,2645.9283377946,2843.01822605215,1017.4760346579,1.38123692859277,0,3445.06348594381,NA,NA,NA,NA,NA,NA,NA,NA,-134.372331252614,-43.9306355078146,NA,NA,NA,NA,-41.2206355335952,NA,-134.372331252614
"59",-23,-22,FALSE,404,4576.07550090695,3687.74726828136,4832.669464825,2542.07985107817,2877.07324494312,1111.01806930693,2,0,3389.52994067388,NA,NA,NA,NA,NA,NA,NA,NA,-71.0146930472406,246.325016809,NA,NA,NA,NA,347.895832394286,NA,-71.0146930472406
"60",-22,-29,TRUE,23,3862.19888738784,3134.57409465088,4341.10683519665,2002.65493792961,2805.72232099033,589.201826086956,8,0,2822.05554645984,NA,NA,NA,NA,NA,NA,NA,NA,168.596085087596,-794.29791021739,-474.703670342979,400.473878975,-743.071218171973,139.974997635953,-164.586248412116,1632.2516406863,168.596085087596
"61",-22,-28,FALSE,38,3754.18684177481,3467.38001066779,3638.4052028569,2534.75416990618,2912.63658287546,519.169473684211,7,0,3043.41945831551,NA,NA,NA,NA,NA,NA,NA,NA,-892.640197893745,98.2077751075485,NA,NA,NA,NA,213.997051492418,NA,-892.640197893745
"62",-22,-28,TRUE,2438,4654.65311791332,3674.68720009473,4952.9988212914,2638.65562100447,3057.31661782407,984.238280557834,7,0,3516.93487423145,NA,NA,NA,NA,NA,NA,NA,NA,-302.224040714883,-149.820764424309,131.369381687355,746.527392494309,140.451321778408,645.063399938547,-113.645811397598,2103.98194176105,-302.224040714883
"63",-22,-27,FALSE,904,4451.37723626223,3449.75584493823,4559.18068232241,2591.92477067398,2726.95318909759,1069.77318584071,6,0,3392.6061486788,NA,NA,NA,NA,NA,NA,NA,NA,-259.008300725794,-114.482257633463,NA,NA,NA,NA,-177.646670539811,NA,-259.008300725794
"64",-22,-27,TRUE,2008,4517.89378116203,3541.1234743921,4937.05532328845,2658.65807955392,2926.77411057426,980.695986055777,6.0398406374502,0,3444.27166241696,NA,NA,NA,NA,NA,NA,NA,NA,-278.160721907578,-225.297589836262,122.329339631133,635.503315501375,117.237880812539,485.071445347308,-196.874460032058,2052.07428944623,-278.160721907578
"65",-22,-26,FALSE,1998,4394.27025548368,3396.00487382796,4699.65079304483,2562.52023551721,2779.6141879574,952.561346346346,5.02002002002002,0,3335.16210652663,NA,NA,NA,NA,NA,NA,NA,NA,-294.425557053041,-218.69619907551,NA,NA,NA,NA,-204.61831841564,NA,-294.425557053041
"66",-22,-26,TRUE,1475,4170.27615968145,3194.15517858347,4596.0828872972,2446.78046385745,2521.41244675898,974.884621016949,5.41220338983051,0,3060.35422699071,NA,NA,NA,NA,NA,NA,NA,NA,-287.086761634956,-194.770935725089,203.606016506749,692.303053655892,150.152426179193,568.972000628553,-159.668447489109,1725.73756989565,-287.086761634956
"67",-22,-25,FALSE,3486,4332.1026460614,3412.14792958005,4601.0044869683,2550.23244026175,2739.08822010183,939.900341939185,4.1061388410786,0,3298.9628899473,NA,NA,NA,NA,NA,NA,NA,NA,-302.2864173476,-202.727441173249,NA,NA,NA,NA,-184.553287519934,NA,-302.2864173476
"68",-22,-25,TRUE,609,4048.71144127913,3257.85255557254,4043.33741166771,2402.74154080942,2514.6367293732,884.830830870279,4.03612479474548,0,3015.31805319705,NA,NA,NA,NA,NA,NA,NA,NA,-213.587168433636,55.2006392033107,349.239281149012,915.912154732051,281.130620120272,810.738046200451,-16.5812273410129,1878.2630724806,-213.587168433636
